CONTAINER ID   IMAGE                                                            COMMAND                  CREATED       STATUS                  PORTS                                                                                                NAMES
a44eb8ec45a1   louislam/uptime-kuma:1                                           "/usr/bin/dumb-init …"   5 days ago    Up 5 days (healthy)     0.0.0.0:3001->3001/tcp, [::]:3001->3001/tcp                                                          uptime-kuma
5207c7346c53   amir20/dozzle:latest                                             "/dozzle"                5 days ago    Up 5 days               0.0.0.0:8888->8080/tcp, [::]:8888->8080/tcp                                                          dozzle
12a14d3d3c18   henrygd/beszel:latest                                            "/beszel serve --htt…"   5 days ago    Up 5 days               0.0.0.0:8090->8090/tcp, [::]:8090->8090/tcp                                                          beszel
e18d6bddb06d   ghcr.io/paperless-ngx/paperless-ngx:latest                       "/init"                  6 days ago    Up 10 hours (healthy)   0.0.0.0:28226->8000/tcp, [::]:28226->8000/tcp                                                        paperless-webserver-1
27e720cc9abe   postgres:18                                                      "docker-entrypoint.s…"   6 days ago    Up 5 days               5432/tcp                                                                                             paperless-db-1
2dc220e4f71b   redis:8                                                          "docker-entrypoint.s…"   6 days ago    Up 5 days               6379/tcp                                                                                             paperless-broker-1
2a390d9d2266   gotenberg/gotenberg:8.25                                         "/usr/bin/tini -- go…"   6 days ago    Up 10 hours             3000/tcp                                                                                             paperless-gotenberg-1
1409fffdfc1f   apache/tika:latest                                               "/bin/sh -c 'exec ja…"   6 days ago    Up 10 hours             9998/tcp                                                                                             paperless-tika-1
67849477f438   portainer/portainer-ce:sts                                       "/portainer"             6 days ago    Up 5 days               0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp, 0.0.0.0:9443->9443/tcp, [::]:9443->9443/tcp, 9000/tcp   portainer
5c3505da9fb4   ghcr.io/immich-app/immich-server:v2                              "tini -- /bin/bash -…"   2 weeks ago   Up 5 days (healthy)     0.0.0.0:2283->2283/tcp, [::]:2283->2283/tcp                                                          immich_server
5283a1cfce61   ghcr.io/immich-app/immich-machine-learning:v2                    "tini -- python -m i…"   2 weeks ago   Up 5 days (healthy)                                                                                                          immich_machine_learning
db5071ce881d   ghcr.io/varun-raj/immich-power-tools:latest                      "docker-entrypoint.s…"   2 weeks ago   Up 3 days               0.0.0.0:8001->3000/tcp, [::]:8001->3000/tcp                                                          immich_power_tools
7aeaba21ce3b   ghcr.io/immich-app/postgres:14-vectorchord0.4.3-pgvectors0.2.0   "/usr/local/bin/immi…"   2 weeks ago   Up 5 days (healthy)     5432/tcp                                                                                             immich_postgres
ca068c50af0c   valkey/valkey:9                                                  "docker-entrypoint.s…"   2 weeks ago   Up 5 days (healthy)     6379/tcp                                                                                             immich_redis
